iso_year,iso_week,matches,active_players,active_churners,churner_share,week_label,week_index
2025,47,63,29,8,0.276,2025.0-W47,1
2025,48,1350,147,31,0.211,2025.0-W48,2
2025,49,1504,161,32,0.199,2025.0-W49,3
2025,50,1211,154,26,0.169,2025.0-W50,4
2025,51,1083,138,21,0.152,2025.0-W51,5
2025,52,1159,131,20,0.153,2025.0-W52,6
2026,1,1298,131,22,0.168,2026.0-W01,7
2026,2,1987,185,32,0.173,2026.0-W02,8
2026,3,2618,193,36,0.187,2026.0-W03,9
2026,4,2672,201,41,0.204,2026.0-W04,10
2026,5,2828,207,39,0.188,2026.0-W05,11
2026,6,2712,232,41,0.177,2026.0-W06,12
2026,7,2817,225,37,0.164,2026.0-W07,13
2026,8,2518,206,32,0.155,2026.0-W08,14
2026,9,2513,211,35,0.166,2026.0-W09,15
2026,10,2418,207,25,0.121,2026.0-W10,16
2026,11,2090,197,23,0.117,2026.0-W11,17
2026,12,2042,189,17,0.09,2026.0-W12,18
2026,13,530,114,2,0.018,2026.0-W13,19
